country_region,date,driving,transit,walking
United States,2020/1/13,100,100,100
United States,2020/1/14,102.97,97.77,99.59
United States,2020/1/15,105.19,98.84,101.87
United States,2020/1/16,108.48,99.04,100.6
United States,2020/1/17,125.51,108.03,121.36
United States,2020/1/18,115.04,97.41,132.38
United States,2020/1/19,90.91,85.4,100.1
United States,2020/1/20,102.57,92.39,94.79
United States,2020/1/21,103.07,100.27,94.84
United States,2020/1/22,103.01,101.06,97.04
United States,2020/1/23,107.9,103.29,100.83
United States,2020/1/24,124.7,113.06,126.67
United States,2020/1/25,120.92,101.88,139.61
United States,2020/1/26,87.32,81.35,89.9
United States,2020/1/27,97.97,97.56,91.94
United States,2020/1/28,101.54,97.08,93.97
United States,2020/1/29,102.2,97.49,94.44
United States,2020/1/30,107.61,100.72,99.96
United States,2020/1/31,126.08,110.99,125.02
United States,2020/2/1,122.32,103.42,140.8
United States,2020/2/2,85.25,80.2,88.42
United States,2020/2/3,98.86,96.48,92.42
United States,2020/2/4,101.99,97.63,93.82
United States,2020/2/5,101.77,98.26,94.52
United States,2020/2/6,107.72,101.15,97.6
United States,2020/2/7,124.07,110.91,122.23
United States,2020/2/8,122.87,107.27,142.94
United States,2020/2/9,91.58,84.2,92.83
United States,2020/2/10,102.93,98.3,91.94
United States,2020/2/11,106.75,100.64,96.13
United States,2020/2/12,109.02,102.08,99.84
United States,2020/2/13,118.36,106.67,108.3
United States,2020/2/14,145.4,119.06,147.82
United States,2020/2/15,132.51,107.77,158.55
United States,2020/2/16,102.27,91.63,116.26
United States,2020/2/17,110.78,101.73,107.52
United States,2020/2/18,109.46,104.64,100.23
United States,2020/2/19,110.85,105.16,103.21
United States,2020/2/20,114.86,106.16,106.25
United States,2020/2/21,135.85,117.14,136.41
United States,2020/2/22,134.35,110.65,162.45
United States,2020/2/23,99.48,87.27,106.11
United States,2020/2/24,106.23,99.21,99.34
United States,2020/2/25,110.27,100.12,103.03
United States,2020/2/26,112.36,100.52,101.84
United States,2020/2/27,118.85,102.98,107.83
United States,2020/2/28,139.8,116.02,136.34
United States,2020/2/29,138.41,109.92,155.82
United States,2020/3/1,101.04,85.31,102.29
United States,2020/3/2,107.73,98.06,99.2
United States,2020/3/3,112.98,100.26,104.76
United States,2020/3/4,113.05,101.5,104.61
United States,2020/3/5,119.74,103.53,111.67
United States,2020/3/6,139.98,111.5,133.94
United States,2020/3/7,137.37,107.32,155.7
United States,2020/3/8,101.64,84.23,107.77
United States,2020/3/9,109.65,97.1,105.33
United States,2020/3/10,111.34,92.48,103.06
United States,2020/3/11,110.97,89.97,102.34
United States,2020/3/12,108.49,79.08,96.43
United States,2020/3/13,117.01,76.78,105.88
United States,2020/3/14,102.87,64.59,105.24
United States,2020/3/15,76.16,49.93,69.72
United States,2020/3/16,84.09,50.79,69.43
United States,2020/3/17,77.04,43.58,64.05
United States,2020/3/18,72.84,39.63,59.26
United States,2020/3/19,70.21,36.76,56.3
United States,2020/3/20,74.33,35.8,59.59
United States,2020/3/21,62.31,29.31,52.26
United States,2020/3/22,46.45,24.84,39.71
United States,2020/3/23,55.73,28.17,44.31
United States,2020/3/24,55.52,27.91,46.34
United States,2020/3/25,55.24,26.94,46.04
United States,2020/3/26,56.81,27.09,48.25
United States,2020/3/27,62.22,28.07,51.95
United States,2020/3/28,52.56,23.83,44.42
United States,2020/3/29,42.96,22.39,38.29
United States,2020/3/30,53.53,26.51,45.36
United States,2020/3/31,53.98,25.47,45.06
United States,2020/4/1,55.49,25.24,47.41
United States,2020/4/2,55.64,24.67,47.1
United States,2020/4/3,60.61,25.04,50.2
United States,2020/4/4,52.22,22.42,45.77
United States,2020/4/5,42.19,20.92,38.89
United States,2020/4/6,53.73,24.71,46.94
United States,2020/4/7,55.27,24.65,48.7
United States,2020/4/8,56.21,24.51,48.77
United States,2020/4/9,56.9,23.69,46.28
United States,2020/4/10,63.87,24.31,51.97
United States,2020/4/11,57.51,22.65,50.69
United States,2020/4/12,37.42,19.06,34.2
United States,2020/4/13,54.98,23.67,44.06
United States,2020/4/14,59.3,24.44,48.68
United States,2020/4/15,63.03,24.23,50.37
United States,2020/4/16,64.11,24.06,50.64
United States,2020/4/17,70.71,24.89,54.85
United States,2020/4/18,65.07,22.89,52.49
United States,2020/4/19,52.71,22.11,45.86
United States,2020/4/20,65.15,26.13,53.87
United States,2020/4/21,65,25.1,51.9
United States,2020/4/22,66.49,25.09,52.86
United States,2020/4/23,68,25.08,52.92
United States,2020/4/24,76.68,25.99,58.89
United States,2020/4/25,72.62,24.85,60
United States,2020/4/26,57.06,22.47,45.95
United States,2020/4/27,68.77,26.64,54.93
United States,2020/4/28,71.33,27.32,57.61
United States,2020/4/29,71.86,26.84,56.67
United States,2020/4/30,74.98,26.66,57.81
United States,2020/5/1,88.5,29.24,69.58
United States,2020/5/2,84.34,28.11,71.29
United States,2020/5/3,68.08,26.35,57.64
United States,2020/5/4,78.01,30,63.27
United States,2020/5/5,80.55,29.8,64.79
United States,2020/5/6,81.47,29.47,64.32
United States,2020/5/7,85.85,30.12,68.9
United States,2020/5/8,95.56,30.07,73.57
United States,2020/5/9,93.62,28.58,75.32
United States,2020/5/10,70.41,24.77,55.76
United States,2020/5/11,,,
United States,2020/5/12,,,
United States,2020/5/13,91.01,30.69,76.46
United States,2020/5/14,94.41,30.83,78.54
United States,2020/5/15,109.51,33.06,92.87
United States,2020/5/16,104.87,31.28,92.48
United States,2020/5/17,83.6,28.39,72.02
United States,2020/5/18,94.5,32.65,79.45
United States,2020/5/19,99.48,32.74,84.13
United States,2020/5/20,102.44,33.2,86.94
United States,2020/5/21,107.95,33.67,90.55
United States,2020/5/22,125.32,36.12,104.37
United States,2020/5/23,115.84,33.43,101.57
United States,2020/5/24,95.79,31.38,85.35
United States,2020/5/25,92.54,33.08,78.61
United States,2020/5/26,106.47,37.14,91.83
United States,2020/5/27,108.78,36.98,93.44
United States,2020/5/28,111.45,36.37,94.3
United States,2020/5/29,127.18,38.46,109.16
United States,2020/5/30,123.59,37.81,113.18
United States,2020/5/31,97.96,32.76,86.96
United States,2020/6/1,107.63,36.92,94.6
United States,2020/6/2,109.14,37.39,96.94
United States,2020/6/3,111.61,37.37,96.33
United States,2020/6/4,117.88,38.99,100.52
United States,2020/6/5,133.68,40.66,113.19
United States,2020/6/6,131.07,41.16,119.76
United States,2020/6/7,105.4,37.39,91.85
United States,2020/6/8,115.92,43.32,99.64
United States,2020/6/9,118.49,43.35,101.36
United States,2020/6/10,121.12,43.35,102.98
United States,2020/6/11,126.3,42.92,106.25
United States,2020/6/12,146.81,47.34,127.74
United States,2020/6/13,142.73,44.66,131.19
United States,2020/6/14,114.39,40.12,98.53
United States,2020/6/15,122.16,45.4,104.69
United States,2020/6/16,124.89,45.91,108.03
United States,2020/6/17,127.18,45.69,109.04
United States,2020/6/18,132.57,46.18,112.23
United States,2020/6/19,153.57,51.04,135.01
United States,2020/6/20,146.2,46.18,131.23
United States,2020/6/21,108.83,39.74,91.1
United States,2020/6/22,125.21,48.89,107.69
United States,2020/6/23,128.97,49.39,113.44
United States,2020/6/24,132.31,49.41,116.42
United States,2020/6/25,138.16,49.83,121.69
United States,2020/6/26,155.9,52.8,138.08
United States,2020/6/27,149.44,48.26,137.26
United States,2020/6/28,119.6,43.78,103.48
United States,2020/6/29,128.91,50.28,112.78
United States,2020/6/30,131.93,49.75,115.35
United States,2020/7/1,136.75,50.4,118.56