Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
6/22/20,PA,9685578.72,8451015.5
6/22/20,RI,2858635.47,2515368.03
6/22/20,SC,3568207.35,3270774.55
6/22/20,TN,5998337.25,5521982.19
6/22/20,TX,22030658.95,19314051.46
6/22/20,UT,3014143.54,2555365.72
6/22/20,VA,8332569.65,7501834.08
6/22/20,VT,1118462.97,1014861.2
6/22/20,WA,9502174.59,8751645.49
6/22/20,WI,3881012.41,3575186.86
6/22/20,WV,456826.1,329738.88
6/29/20,AL,1083934.84,1008542.37
6/29/20,AR,733476.61,567995.13
6/29/20,AZ,2357942.95,2164229.67
6/29/20,CA,44776226.5,35899760.65
6/29/20,CO,7987655.22,7004690.16
6/29/20,CT,6328554.19,5348462.64
6/29/20,DC,3851532.32,3487928.26
6/29/20,DE,730733.05,624460.37
6/29/20,FL,22365579.36,19322065.83
6/29/20,GA,2985493.19,2596736.96
6/29/20,IA,946728.15,826481.45
6/29/20,ID,824824.85,790823.44
6/29/20,IL,18570631.58,16290093.59
6/29/20,IN,4125308.42,3601731.59
6/29/20,KS,811268.24,696549.31
6/29/20,KY,2826603.65,2583477.61
6/29/20,LA,3134582.47,2875382.22
6/29/20,MA,24788099.24,20996736.94
6/29/20,MD,7465960.09,6397225.69
6/29/20,ME,3613504.27,3133773.71
6/29/20,MI,11695726.47,9977118.62
6/29/20,MN,2128756.12,1914897.69
6/29/20,MO,4314935.11,3732972.23
6/29/20,MS,1154666.7,1098082.26
6/29/20,MT,977760.13,918003.41
6/29/20,NC,4883117.09,4273653.12
6/29/20,NE,867072.52,769468.2
6/29/20,NH,1810274.53,1422052.8
6/29/20,NJ,5447182.78,4411002.43
6/29/20,NM,949787.54,867161.79
6/29/20,NV,2836419.91,2487698.07
6/29/20,NY,24895708.76,21161570.92
6/29/20,OH,12044981.26,9646443.41
6/29/20,OK,1646239.44,1319093.96
6/29/20,OR,4049108.7,3659192.76
6/29/20,PA,8181676.22,7172013.86
6/29/20,RI,3233525.3,2907273.96
6/29/20,SC,3847632.04,3515265.16
6/29/20,TN,4861927.21,4402482.4
6/29/20,TX,20672920,18170010.38
6/29/20,UT,2783658.09,2424504.26
6/29/20,VA,7631817.02,6862908.21
6/29/20,VT,1293391.59,1182194.11
6/29/20,WA,8453404.94,7803342.5
6/29/20,WI,4061777.15,3797510.02
6/29/20,WV,359303.19,245967.06
7/6/20,AL,1114281.19,1029789.9
7/6/20,AR,865748.65,680616.91
7/6/20,AZ,2545118.89,2296398.99
7/6/20,CA,48100479.94,38670522.02
7/6/20,CO,8043302.76,6991553.29
7/6/20,CT,7087535.08,5945816.39
7/6/20,DC,4321660.64,3865255.52
7/6/20,DE,804480.7,673925.01
7/6/20,FL,22119270.57,19024723.88
7/6/20,GA,2991295.9,2579687.02
7/6/20,IA,1031316.21,893722.75
7/6/20,ID,879465.57,834316.79
7/6/20,IL,20645672.52,18092340.87
7/6/20,IN,4592417.13,4001340.33
7/6/20,KS,927878.74,787182.42
7/6/20,KY,3152003.33,2881927.98
7/6/20,LA,1803598.1,1606689.65
7/6/20,MA,28122524.11,23894081.04
7/6/20,MD,7858179.45,6646043.91
7/6/20,ME,3305889.76,2870502.13
7/6/20,MI,12193794.36,10374750.77
7/6/20,MN,2426798.17,2168125.13
7/6/20,MO,4587713.28,4026712.52
7/6/20,MS,1193131.9,1126728.38
7/6/20,MT,886367.31,832710.82
7/6/20,NC,5121220.48,4421836.01
7/6/20,NE,909505.51,800396.61
7/6/20,NH,1906871.55,1507383.36
7/6/20,NJ,5608637.42,4452681.73
7/6/20,NM,1013165.11,928498.69
7/6/20,NV,2812846.32,2427321.64
7/6/20,NY,28861959.45,24248133.81
7/6/20,OH,12812591.38,10198323.56
7/6/20,OK,1816175.72,1477119.26
7/6/20,OR,4252900.35,3859354.45
7/6/20,PA,9467245.77,8271548.52
7/6/20,RI,3029501.67,2700337.22
7/6/20,SC,3479554.67,3183562.74
7/6/20,TN,5150394.69,4686882.09
7/6/20,TX,21379271.89,18754875.61
7/6/20,UT,3031586.14,2614796.99
7/6/20,VA,8001334.47,7108190.87
7/6/20,VT,1152060.31,1047469.68
7/6/20,WA,9456301.4,8702606.39
7/6/20,WI,4024127.5,3739759.71
7/6/20,WV,425121.72,300205.75
7/13/20,AL,1026466.64,953446.48
7/13/20,AR,782890.3,610295.48
7/13/20,AZ,2320192.63,2084148.97
7/13/20,CA,42066609.45,33852538.8
7/13/20,CO,7130713.27,6195979.44
7/13/20,CT,6096847.5,5091375.04
7/13/20,DC,3793377.71,3414718.38
7/13/20,DE,731195.69,623999.21
7/13/20,FL,19104088.02,16405516.68
7/13/20,GA,2653826.32,2285326.77
7/13/20,IA,962466.17,847722.61
7/13/20,ID,777176.87,742487.31
7/13/20,IL,18096507.56,15838435.26
7/13/20,IN,3916978.64,3403854.32
7/13/20,KS,779802.05,661045.01
7/13/20,KY,2720599.07,2489365.17
7/13/20,LA,2743090.94,2513184.31
7/13/20,MA,24680709.26,20907707.22
7/13/20,MD,6563585.69,5514679.05
7/13/20,ME,2991584.6,2597442.43
7/13/20,MI,10718986.78,9060193.36
7/13/20,MN,2143846.63,1907894.87
7/13/20,MO,3947276.38,3431306.44
7/13/20,MS,1193477.34,1136360.96
7/13/20,MT,797793.34,750733.7
7/13/20,NC,4570177.52,3941099.95
7/13/20,NE,858733.14,760358.46
7/13/20,NH,1679316.38,1335947.58
7/13/20,NJ,4853601.97,3793078.67
7/13/20,NM,879434.56,799866.1
7/13/20,NV,2450205.77,2118421.49
7/13/20,NY,24627649.15,20461059.96
7/13/20,OH,11246333.54,8979598.37
7/13/20,OK,1583952.98,1283770.34
7/13/20,OR,3739910.39,3397482.59
7/13/20,PA,8173131.37,7101562.96
7/13/20,RI,2645214.15,2346075.31
7/13/20,SC,3118576.74,2846302.21
7/13/20,TN,4669056.81,4241441.66
7/13/20,TX,18777829.2,16479204.78
7/13/20,UT,2769058.53,2369153.91
7/13/20,VA,6903141.1,6172858.95
7/13/20,VT,1035221.68,945501.47
7/13/20,WA,8299996.66,7620963.16
7/13/20,WI,3440346.72,3183179.9
7/13/20,WV,390166.38,273661.88
7/20/20,AL,1185275.04,1104375.98
7/20/20,AR,845507.16,667336.25
7/20/20,AZ,2669384.92,2415634.33
7/20/20,CA,48594941.43,38937871.43
7/20/20,CO,7988166.36,6928737.92
7/20/20,CT,7229236.01,6077340.72
7/20/20,DC,4434644.39,3993134.15
7/20/20,DE,801172.02,676577.02
7/20/20,FL,22673636.91,19490084.87
7/20/20,GA,3081748.76,2666702.56
7/20/20,IA,1053235.48,914448.29
7/20/20,ID,813896.03,770920.11
7/20/20,IL,21298309.52,18689592.88
7/20/20,IN,4690420.15,4093890.37
7/20/20,KS,878820.33,747287.4
7/20/20,KY,3139394.2,2882097.62
7/20/20,LA,3312727.21,3046132.98
7/20/20,MA,28713684.52,24275929.8
7/20/20,MD,8045683.91,6794940.59
7/20/20,ME,3364987.18,2834567.84
7/20/20,MI,11759261.93,9917109.18
7/20/20,MN,2459902.93,2186008.26
7/20/20,MO,4711569.53,4122792.67
7/20/20,MS,1379150.23,1307061.89
7/20/20,MT,814743.32,758682.38
7/20/20,NC,5294471.3,4581297.02
7/20/20,NE,1008803.66,894832.74
7/20/20,NH,1941942.44,1539325.01
7/20/20,NJ,5746522.28,4553932.53
7/20/20,NM,977439.94,888277.82
7/20/20,NV,2899249.62,2521590.05
7/20/20,NY,31352256.08,26499612.39
7/20/20,OH,12909587.66,10213110.53
7/20/20,OK,1827739.28,1476956.98
7/20/20,OR,4264067.64,3855480.75
7/20/20,PA,9685578.72,8451015.5
7/20/20,RI,2858635.47,2515368.03
7/20/20,SC,3568207.35,3270774.55
7/20/20,TN,5998337.25,5521982.19
7/20/20,TX,22030658.95,19314051.46
7/20/20,UT,3014143.54,2555365.72
7/20/20,VA,8332569.65,7501834.08
7/20/20,VT,1118462.97,1014861.2
7/20/20,WA,9502174.59,8751645.49
7/20/20,WI,3881012.41,3575186.86
7/20/20,WV,456826.1,329738.88
7/27/20,AL,1043600.64,956141.31
7/27/20,AR,783303.55,608516.71
7/27/20,AZ,2737914.53,2489130.56
7/27/20,CA,48066191.99,38153095.99
7/27/20,CO,7542034.01,6519510.44
7/27/20,CT,6767196.56,5631280.65
7/27/20,DC,4287997.64,3876060.66
7/27/20,DE,748505.09,626914.57
7/27/20,FL,22965044.29,19704661.34
7/27/20,GA,2943169.68,2525677.02
7/27/20,IA,979428.75,852199.7
7/27/20,ID,713082.31,676008.46
7/27/20,IL,20094555,17502620.92
7/27/20,IN,4462206.96,3896983.55
7/27/20,KS,826723.5,698622.39
7/27/20,KY,3060984.28,2813122.76
7/27/20,LA,3376244.02,3122409.61
7/27/20,MA,27158568.07,22873584.47
7/27/20,MD,7846204.67,6624203.95
7/27/20,ME,2490484.63,2120033.91
7/27/20,MI,10642350.35,8919590.9
7/27/20,MN,2270096.83,2011039.43
7/27/20,MO,4398667.56,3790809.49
7/27/20,MS,1367101.58,1303822.29
7/27/20,MT,656829.92,607468.19
7/27/20,NC,4876052.5,4195909.61
7/27/20,NE,949598.58,853417.99
7/27/20,NH,1770761.99,1398192.36
7/27/20,NJ,5321176.64,4212647.6
7/27/20,NM,940979.07,856013.27
7/27/20,NV,3049548.08,2665004.59
7/27/20,NY,28863690.97,24161950.41
7/27/20,OH,12114685.68,9571799.2
7/27/20,OK,1851171.42,1500930.45
7/27/20,OR,4080129.54,3684403.24
7/27/20,PA,9177594.56,7996407
7/27/20,RI,2684863.55,2357167.08
7/27/20,SC,3212933.74,2921526.7
7/27/20,TN,4875549.12,4425240.65
7/27/20,TX,22497055.1,19787123.1
7/27/20,UT,3013426.61,2570421.86
7/27/20,VA,7816038.66,6989655.18
7/27/20,VT,914652.17,825892.99
7/27/20,WA,8789835.03,8074095.19
7/27/20,WI,3548099.44,3277321.11
7/27/20,WV,402445.63,270745.35
8/3/20,AL,1105717.01,1040559.89
8/3/20,AR,947481.48,755756.7
8/3/20,AZ,3318744.16,3052793.98
8/3/20,CA,50399482.57,40416270.62
8/3/20,CO,7504833.62,6420410.33
8/3/20,CT,7639354.26,6417847.69
8/3/20,DC,4741047.87,4272477.5
8/3/20,DE,863401.64,717450.85
8/3/20,FL,25219811.89,21669336.48
8/3/20,GA,3093988.1,2653283.17
8/3/20,IA,1202956.1,1076231.18
8/3/20,ID,709870.34,670598.81
8/3/20,IL,20957801.52,18329172.98
8/3/20,IN,5097127,4462704.47
8/3/20,KS,1018643.08,876853.71
8/3/20,KY,3450984.56,3174930.17
8/3/20,LA,3863859.81,3564030.04
8/3/20,MA,28336772.38,23862910.3
8/3/20,MD,8721664.93,7349630
8/3/20,ME,2505959.27,2129666.33
8/3/20,MI,11698966.46,9771093.29
8/3/20,MN,2591736.04,2332550.13
8/3/20,MO,4758070.15,4148761.2
8/3/20,MS,1356748.8,1284056.53
8/3/20,MT,692585.51,640649.86
8/3/20,NC,5338949.48,4639559.92
8/3/20,NE,1072170.08,956032.67
8/3/20,NH,1996425.51,1610062.18
8/3/20,NJ,5629628.75,4434264.58
8/3/20,NM,1025051.96,930709.08
8/3/20,NV,2987327.42,2573968.8
8/3/20,NY,30783897.26,25600730.89
8/3/20,OH,13176919.03,10419799.87
8/3/20,OK,1920875.77,1542472.62
8/3/20,OR,4202370.66,3801652.95
8/3/20,PA,10476436.49,9137885.04
8/3/20,RI,2612789.6,2289544.56
8/3/20,SC,3266174.44,2972032.98
8/3/20,TN,5558089.83,5043740.67
8/3/20,TX,23279515.1,20437003.28
8/3/20,UT,3022889.15,2541619.62
8/3/20,VA,8884798.92,8016063.69
8/3/20,VT,926683.65,846235.2
8/3/20,WA,9242561.3,8478089.82
8/3/20,WI,3939613.42,3613307.1
8/3/20,WV,475029.83,339131.54
10/26/20,AL,1235992.25,1163082.56
10/26/20,AR,840754.88,649164.2
10/26/20,AZ,3172918.86,2905210.32
10/26/20,CA,48101062.66,38432211.54
10/26/20,CO,6940179.97,5885298.25
10/26/20,CT,6987372.25,5819657.54
10/26/20,DC,4578679.7,4129109.82
10/26/20,DE,864316.59,722688.39
10/26/20,FL,24359163.39,20954885.42
10/26/20,GA,2971962.52,2545683.17
10/26/20,IA,1050419.67,925474.52
10/26/20,ID,676486.49,633535.59
10/26/20,IL,20054723.69,17542223.39
10/26/20,IN,4663928.33,4029341.49
10/26/20,KS,943264.44,808484.7
10/26/20,KY,3380257.07,3101677.65
10/26/20,LA,4202285.58,3903910.71
10/26/20,MA,27097860.45,22779844.48
10/26/20,MD,7945328.81,6666726.89
10/26/20,ME,2227235.32,1883833.55
10/26/20,MI,11074117.58,9208082.04
10/26/20,MN,2575670.83,2314481.6
10/26/20,MO,4399228.86,3822882.52
10/26/20,MS,1244671.82,1173403.35
10/26/20,MT,647007.59,598916.55
10/26/20,NC,4974287.39,4291316.35
10/26/20,NE,1060297.49,952480.62
10/26/20,NH,1751926.52,1386006.6
10/26/20,NJ,5185757.95,4014773.12
10/26/20,NM,975561.62,877580.56
10/26/20,NV,3058309.97,2650912.81
10/26/20,NY,29569737.39,24334368.44
10/26/20,OH,13046385.41,10344719.79
10/26/20,OK,1849789.93,1492522.92
10/26/20,OR,4022600.51,3628480.4
10/26/20,PA,9886441.85,8561705.5
10/26/20,RI,2339597.49,2022687.06
10/26/20,SC,3180027.11,2897366.46
10/26/20,TN,5389898.2,4897273.17
10/26/20,TX,23082373.74,20273084.71
10/26/20,UT,3081962.72,2616741.71
10/26/20,VA,8188949.58,7361808.35
10/26/20,VT,794817.62,717659.96
10/26/20,WA,8742054.92,8030553.42
10/26/20,WI,3394141.97,3091038.08
10/26/20,WV,438074.19,305054.36
4/26/21,AL,1301525.95,1224750.506
4/26/21,AR,885332.65,683583.6165
4/26/21,AZ,3341150.589,3059247.841
4/26/21,CA,50651435.14,40469930.65
4/26/21,CO,7308156.123,6197343.387
4/26/21,CT,7357850.591,6128222.333
4/26/21,DC,4821446.451,4348039.87
4/26/21,DE,910143.6284,761006.1418
4/26/21,FL,25650713.65,22065937.03
4/26/21,GA,3129539.318,2680658.157
4/26/21,IA,1106114.103,974544.2206
4/26/21,ID,712354.5651,667126.36
4/26/21,IL,21118047.71,18472331.82
4/26/21,IN,4911215.059,4242981.711
4/26/21,KS,993277.3822,851351.4687
4/26/21,KY,3559482.104,3266132.09
4/26/21,LA,4425095.491,4110900.45
4/26/21,MA,28534619.51,23987657.47
4/26/21,MD,8366599.086,7020204.253
4/26/21,ME,2345325.843,1983716.525
4/26/21,MI,11661279.76,9696304.913
4/26/21,MN,2712235.796,2437198.019
4/26/21,MO,4632480.925,4025576.054
4/26/21,MS,1310665.721,1235618.516
4/26/21,MT,681312.6606,630671.7795
4/26/21,NC,5238029.706,4518846.773
4/26/21,NE,1116515.656,1002982.214
4/26/21,NH,1844815.636,1459494.23
4/26/21,NJ,5460712.673,4227640.909
4/26/21,NM,1027286.995,924110.869
4/26/21,NV,3220465.007,2791467.191
4/26/21,NY,31137558.15,25624604.04
4/26/21,OH,13738119.45,10893208.48
4/26/21,OK,1947867.874,1571658.165
4/26/21,OR,4235883.316,3820866.515
4/26/21,PA,10410632.12,9015656.762
4/26/21,RI,2463645.582,2129932.204
4/26/21,SC,3348635.726,3050988.091
4/26/21,TN,5675676.669,5156932.105
4/26/21,TX,24306227.17,21347986.48
4/26/21,UT,3245371.852,2755484.301
4/26/21,VA,8623136.903,7752139.714
4/26/21,VT,836959.7448,755711.0988
4/26/21,WA,9205568.511,8456342.401
4/26/21,WI,3574103.197,3254928.398
4/26/21,WV,461301.3766,321228.6855
1/24/22,AL,1048008.059,945336.2109
1/24/22,AR,895186.5409,706854.1432
1/24/22,AZ,3633781.197,3313954.336
1/24/22,CA,49850490.59,39785774.44
1/24/22,CO,7905684.867,6714320.658
1/24/22,CT,6788535.024,5662453.764
1/24/22,DC,4212270.149,3665380.263
1/24/22,DE,795325.0359,652745.3816
1/24/22,FL,29424955.56,25628730.09
1/24/22,GA,2808145.064,2374330.763
1/24/22,IA,1114712.98,978730.6258
1/24/22,ID,805731.9059,748039.3234
1/24/22,IL,18941594.78,16365963.17
1/24/22,IN,4694102.098,4046809.534
1/24/22,KS,980975.5804,823533.6861
1/24/22,KY,2867583.014,2576982.313
1/24/22,LA,4222716.335,3880132.111
1/24/22,MA,25886626.11,21583344.03
1/24/22,MD,7985715.219,6671507.829
1/24/22,ME,2336508.545,1994991.035
1/24/22,MI,10458306.9,8722496.676
1/24/22,MN,2400750.078,2115007.17
1/24/22,MO,4304482.033,3732655.89
1/24/22,MS,1245807.333,1170238.48
1/24/22,MT,680546.2196,619623.9203
1/24/22,NC,4604657.515,3771307.958
1/24/22,NE,1091203.484,968046.5356
1/24/22,NH,1821129.715,1390795.461
1/24/22,NJ,5111821.44,3805930.003
1/24/22,NM,928407.7074,830815.5396
1/24/22,NV,3129022.593,2699138.89
1/24/22,NY,28587161.19,23581529.93
1/24/22,OH,12257583.25,9715379.752
1/24/22,OK,1847504.397,1462612.416
1/24/22,OR,4010869.602,3577065.895
1/24/22,PA,9689880.709,8260976.923
1/24/22,RI,2320612.206,2012472.74
1/24/22,SC,2628399.804,2319469.337
1/24/22,TN,5154697.613,4640062.571
1/24/22,TX,23730778.37,20604371.83
1/24/22,UT,3127248.358,2651125.853
1/24/22,VA,7705674.938,6811817.855
1/24/22,VT,1304300.44,1195826.645
1/24/22,WA,8827268.38,7991693.12
1/24/22,WI,3454208.031,3161512.199
1/24/22,WV,429208.9207,295941.8034