"State","Urbanization.rate","min","quantile.10","quantile.25","quantile.50","quantile.75","quantile.90","max"
"1","AL",0.59,-0.857142857142857,-0.142857142857143,6.85714285714286,8.14285714285714,11,14.2857142857143,16
"2","AR",0.562,-1.85714285714286,0.714285714285714,5.42857142857143,6.42857142857143,8.85714285714286,11.5714285714286,12.4285714285714
"3","AZ",0.898,-1.14285714285714,1.14285714285714,9.57142857142857,11.5714285714286,13.2857142857143,15.4285714285714,16.2857142857143
"4","CA",0.95,-0.714285714285714,1.28571428571429,11.7142857142857,15.4285714285714,17.4285714285714,20.7142857142857,22.5714285714286
"5","CO",0.862,-0.857142857142857,1.42857142857143,7.71428571428571,12,14.7142857142857,19.2857142857143,20.5714285714286
"6","CT",0.88,-0.571428571428571,1,9.28571428571428,13.4285714285714,17.2857142857143,20.1428571428571,21
"7","DC",1,-0.428571428571429,2.14285714285714,16,19,23,25.1428571428571,25.4285714285714
"8","DE",0.833,-0.714285714285714,0.142857142857143,8.57142857142857,11.4285714285714,15.7142857142857,18.1428571428571,18.7142857142857
"9","FL",0.912,-0.714285714285714,0.714285714285714,9.42857142857143,11.2857142857143,15.1428571428571,18,19
"10","GA",0.751,-1.14285714285714,0.857142857142857,8.85714285714286,10.7142857142857,13.5714285714286,17.1428571428571,18.5714285714286
"11","IA",0.64,-1.71428571428571,-0.285714285714286,5.28571428571429,9.28571428571429,12.2857142857143,14.7142857142857,15.2857142857143
"12","ID",0.706,-1.57142857142857,0,3,5.57142857142857,8.85714285714286,13.2857142857143,15.2857142857143
"13","IL",0.885,-1.28571428571429,0.142857142857143,8.28571428571429,13.8571428571429,16.2857142857143,19.2857142857143,19.5714285714286
"14","IN",0.724,-1.14285714285714,0,5.57142857142857,9.42857142857143,13.2857142857143,16.8571428571429,17.1428571428571
"15","KS",0.742,-2.42857142857143,-0.142857142857143,5.14285714285714,8,11.7142857142857,15.5714285714286,16
"16","KY",0.584,-1,0.285714285714286,6,9.28571428571429,12.5714285714286,15,15.7142857142857
"17","LA",0.732,-1.14285714285714,0.142857142857143,7.85714285714286,9,12.5714285714286,16.1428571428571,17.4285714285714
"18","MA",0.92,-0.428571428571429,2.42857142857143,11.2857142857143,15.8571428571429,20,22.8571428571429,23
"19","MD",0.872,-0.571428571428571,0.714285714285714,11.5714285714286,14.4285714285714,19.5714285714286,21.7142857142857,22.2857142857143
"20","ME",0.387,-0.714285714285714,1.28571428571429,5,8.57142857142857,13.4285714285714,15.5714285714286,17.2857142857143
"21","MI",0.746,-1,0.571428571428571,6,12.2857142857143,17.1428571428571,21.7142857142857,22.5714285714286
"22","MN",0.733,-0.857142857142857,0.571428571428571,7.85714285714286,12.5714285714286,15.7142857142857,19.4285714285714,20.2857142857143
"23","MO",0.704,-2.28571428571429,-0.285714285714286,5.42857142857143,8.28571428571428,11.4285714285714,15,15.8571428571429
"24","MS",0.493,-1.42857142857143,0.285714285714286,6,7.42857142857143,9.85714285714286,13.5714285714286,15.7142857142857
"25","MT",0.559,-0.857142857142857,0.285714285714286,2,4.28571428571429,8.57142857142857,13.4285714285714,15.2857142857143
"26","NC",0.661,-1.28571428571429,0.285714285714286,7.71428571428571,9,12.7142857142857,15.2857142857143,16.1428571428571
"27","NE",0.731,-1.57142857142857,0.285714285714286,6,10.4285714285714,12.7142857142857,15,15.8571428571429
"28","NH",0.603,-0.428571428571429,1,7.71428571428571,12,16.1428571428571,18.8571428571429,19.2857142857143
"29","NJ",0.947,-0.285714285714286,1.14285714285714,11.8571428571429,16.4285714285714,21.5714285714286,24.5714285714286,25.4285714285714
"30","NM",0.774,-1.57142857142857,0.428571428571429,8.71428571428571,9.85714285714286,13.1428571428571,15.8571428571429,16.5714285714286
"31","NV",0.942,-0.428571428571429,0.857142857142857,9.14285714285714,13.4285714285714,15.8571428571429,18.7142857142857,19.7142857142857
"32","NY",0.879,-0.285714285714286,2.42857142857143,10.8571428571429,15.2857142857143,20.4285714285714,24,24.7142857142857
"33","OH",0.779,-1,0.285714285714286,6.14285714285714,10.1428571428571,13.5714285714286,17.4285714285714,17.5714285714286
"34","OK",0.662,-1.57142857142857,0.571428571428571,5,7.14285714285714,9.85714285714286,14.5714285714286,15.1428571428571
"35","OR",0.81,-1,-0.142857142857143,7.14285714285714,9.85714285714286,13.1428571428571,15.4285714285714,16.5714285714286
"36","PA",0.787,-0.571428571428571,0.571428571428571,8,13.1428571428571,16.2857142857143,19.5714285714286,20
"37","RI",0.907,-0.714285714285714,1.71428571428571,8,13.4285714285714,17,19.7142857142857,20
"38","SC",0.663,-1,-0.285714285714286,6.57142857142857,8,11.1428571428571,13.8571428571429,15.5714285714286
"39","TN",0.664,-1.14285714285714,0.571428571428571,6,8.28571428571428,10.5714285714286,14,15.7142857142857
"40","TX",0.847,-1.57142857142857,0.571428571428571,9.57142857142857,12.1428571428571,14.8571428571429,18.5714285714286,19.4285714285714
"41","UT",0.906,-0.857142857142857,0.714285714285714,7.14285714285714,9.57142857142857,12.1428571428571,16.5714285714286,17
"42","VA",0.755,-0.714285714285714,1.28571428571429,9.57142857142857,11.8571428571429,15.8571428571429,18.4285714285714,18.7142857142857
"43","VT",0.389,0,1,7.42857142857143,10.7142857142857,15.7142857142857,19.2857142857143,20.1428571428571
"44","WA",0.84,-1,1.14285714285714,9,12.1428571428571,15.8571428571429,18.8571428571429,19.7142857142857
"45","WI",0.702,-0.714285714285714,0,6.71428571428571,10.7142857142857,14.2857142857143,17.7142857142857,18.4285714285714
"46","WV",0.487,-0.428571428571429,0.571428571428571,4.71428571428571,7.42857142857143,10.8571428571429,13.5714285714286,14.2857142857143
